codigo_comuna,id_cuarentena,semana,activos_x10mil,nuevos_x10mil,activos_comienzo,comuna,capital_regional,capital_provincial,aeropuerto,puerto,poblacion_edad_15_a_64,poblacion_edad_0_a_4,poblacion_edad_5_a_9,poblacion_edad_10_a_15,poblacion_edad_15_a_19,poblacion_edad_20_a_24,poblacion_edad_25_a_29,poblacion_edad_30_a_34,poblacion_edad_35_a_39,poblacion_edad_40_a_44,poblacion_edad_45_a_49,poblacion_edad_50_a_54,poblacion_edad_55_a_59,poblacion_edad_60_a_64,poblacion_edad_65_a_69,poblacion_edad_70_a_74,poblacion_edad_75_a_79,poblacion_edad_80_y_mas,densidad_poblacional,hacinamiento,inmigrantes,idse,ips,indice_ruralidad
15101,2,9,21.369247673216133,13.411323681489142,23.30823422957601,Arica,1,0,1,1,148234,12572,17044,15726,17176,18043,18174,16498,15050,14750,13820,13323,11657,10173,8080,6535,4260,4470,51.58,3.05,15967,643.0,,39.69
15101,2,10,17.430681230610134,12.078270423991729,23.30823422957601,Arica,1,0,1,1,148234,12572,17044,15726,17176,18043,18174,16498,15050,14750,13820,13323,11657,10173,8080,6535,4260,4470,51.58,3.05,15967,643.0,,39.69
15101,2,11,15.491694674250258,16.642967942088934,23.30823422957601,Arica,1,0,1,1,148234,12572,17044,15726,17176,18043,18174,16498,15050,14750,13820,13323,11657,10173,8080,6535,4260,4470,51.58,3.05,15967,643.0,,39.69
15101,2,12,16.784352378490176,16.23901240951396,23.30823422957601,Arica,1,0,1,1,148234,12572,17044,15726,17176,18043,18174,16498,15050,14750,13820,13323,11657,10173,8080,6535,4260,4470,51.58,3.05,15967,643.0,,39.69
15101,2,13,21.73280765253361,13.047763702171665,23.30823422957601,Arica,1,0,1,1,148234,12572,17044,15726,17176,18043,18174,16498,15050,14750,13820,13323,11657,10173,8080,6535,4260,4470,51.58,3.05,15967,643.0,,39.69
15101,2,14,21.42984100310238,12.280248190279213,23.30823422957601,Arica,1,0,1,1,148234,12572,17044,15726,17176,18043,18174,16498,15050,14750,13820,13323,11657,10173,8080,6535,4260,4470,51.58,3.05,15967,643.0,,39.69
15101,2,15,16.299605739400207,10.62403050672182,23.30823422957601,Arica,1,0,1,1,148234,12572,17044,15726,17176,18043,18174,16498,15050,14750,13820,13323,11657,10173,8080,6535,4260,4470,51.58,3.05,15967,643.0,,39.69
15101,2,16,11.815699327817994,8.079110651499484,23.30823422957601,Arica,1,0,1,1,148234,12572,17044,15726,17176,18043,18174,16498,15050,14750,13820,13323,11657,10173,8080,6535,4260,4470,51.58,3.05,15967,643.0,,39.69
13402,1,1,8.20860809368758,17.05566348355086,3.693873642159411,Buin,0,0,0,0,66360,5832,7451,6878,7064,7351,8365,7811,7358,6757,6413,6120,5356,3894,2895,2225,1460,1623,505.19,3.1,1478,639.0,75.77,43.26
13402,1,2,12.358515518829634,20.977554017201594,3.693873642159411,Buin,0,0,0,0,66360,5832,7451,6878,7064,7351,8365,7811,7358,6757,6413,6120,5356,3894,2895,2225,1460,1623,505.19,3.1,1478,639.0,75.77,43.26
13402,1,3,12.084895249040049,21.159967530394653,3.693873642159411,Buin,0,0,0,0,66360,5832,7451,6878,7064,7351,8365,7811,7358,6757,6413,6120,5356,3894,2895,2225,1460,1623,505.19,3.1,1478,639.0,75.77,43.26
13402,1,4,9.850329712425097,25.629098603624556,3.693873642159411,Buin,0,0,0,0,66360,5832,7451,6878,7064,7351,8365,7811,7358,6757,6413,6120,5356,3894,2895,2225,1460,1623,505.19,3.1,1478,639.0,75.77,43.26
13402,1,5,15.915579026094253,24.443410767869683,3.693873642159411,Buin,0,0,0,0,66360,5832,7451,6878,7064,7351,8365,7811,7358,6757,6413,6120,5356,3894,2895,2225,1460,1623,505.19,3.1,1478,639.0,75.77,43.26
13402,1,6,22.847292527430433,19.15341888527102,3.693873642159411,Buin,0,0,0,0,66360,5832,7451,6878,7064,7351,8365,7811,7358,6757,6413,6120,5356,3894,2895,2225,1460,1623,505.19,3.1,1478,639.0,75.77,43.26
13402,1,7,23.850566849992248,15.505148621409873,3.693873642159411,Buin,0,0,0,0,66360,5832,7451,6878,7064,7351,8365,7811,7358,6757,6413,6120,5356,3894,2895,2225,1460,1623,505.19,3.1,1478,639.0,75.77,43.26
13402,1,8,19.06221212867449,15.322735108216817,3.693873642159411,Buin,0,0,0,0,66360,5832,7451,6878,7064,7351,8365,7811,7358,6757,6413,6120,5356,3894,2895,2225,1460,1623,505.19,3.1,1478,639.0,75.77,43.26
13402,1,9,17.785317536323088,11.03601754817997,3.693873642159411,Buin,0,0,0,0,66360,5832,7451,6878,7064,7351,8365,7811,7358,6757,6413,6120,5356,3894,2895,2225,1460,1623,505.19,3.1,1478,639.0,75.77,43.26
13402,1,10,17.87652429291962,9.485502686038982,3.693873642159411,Buin,0,0,0,0,66360,5832,7451,6878,7064,7351,8365,7811,7358,6757,6413,6120,5356,3894,2895,2225,1460,1623,505.19,3.1,1478,639.0,75.77,43.26
13402,1,11,12.677739166917483,6.384472961757007,3.693873642159411,Buin,0,0,0,0,66360,5832,7451,6878,7064,7351,8365,7811,7358,6757,6413,6120,5356,3894,2895,2225,1460,1623,505.19,3.1,1478,639.0,75.77,43.26
13402,1,12,9.759122955828568,7.114127014529236,3.693873642159411,Buin,0,0,0,0,66360,5832,7451,6878,7064,7351,8365,7811,7358,6757,6413,6120,5356,3894,2895,2225,1460,1623,505.19,3.1,1478,639.0,75.77,43.26
13402,1,13,7.342143906020558,10.123949982214683,3.693873642159411,Buin,0,0,0,0,66360,5832,7451,6878,7064,7351,8365,7811,7358,6757,6413,6120,5356,3894,2895,2225,1460,1623,505.19,3.1,1478,639.0,75.77,43.26
